PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
DeAndre' Bembry,ATL,22,38,20,18,9.8,2.7,1.2,2.6,48,0,0.5,5.6,0.2,0.4,37.5,0.4,1.2,1.6,0.7,0.4,0.2,0.1,0.6,6.2,0,0,-1.2
Dennis Schroder,ATL,23,79,42,37,31.5,17.9,6.9,15.4,45.1,1.3,3.7,34,2.8,3.2,85.5,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,31.3,10,0,-1
Dwight Howard,ATL,31,74,37,37,29.7,13.5,5.2,8.3,63.3,0,0,0,3.1,5.7,53.3,4,8.7,12.7,1.4,2.3,0.9,1.2,2.7,34.9,53,0,-1.5
Ersan Ilyasova,ATL,30,82,35,47,26.1,13.1,4.7,10.9,43.1,1.7,4.9,35.3,2,2.5,77.8,1.4,4.5,5.9,1.7,1.4,0.7,0.3,2.6,24.2,10,0,-0.4
Gary Neal,ATL,32,2,1,1,9.2,2,0,3.5,0,0,1,0,2,2,100,0,0.5,0.5,0.5,0,0,0,0.5,3.4,0,0,-2.5
Jose Calderon,ATL,35,41,15,26,13.1,3.4,1.3,3.3,41,0.5,1.6,31.3,0.3,0.3,91.7,0.4,1.4,1.8,2.1,1,0.3,0,0.9,8.7,0,0,-2.6
Kent Bazemore,ATL,27,73,39,34,26.9,11,4,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,22.6,1,0,-1.5
Kris Humphries,ATL,32,56,31,25,12.3,4.6,1.6,3.8,40.7,0.3,1,35.2,1.1,1.5,78,1.1,2.6,3.7,0.5,0.5,0.3,0.4,1.2,11.2,0,0,-1.2
Lamar Patterson,ATL,25,5,1,4,8.1,1.8,0.6,3,20,0.2,1.2,16.7,0.4,0.6,66.7,0.2,1.2,1.4,1.2,0.8,0.2,0,1.2,5.1,0,0,2.6
Malcolm Delaney,ATL,28,73,37,36,17.1,5.4,2,5.3,37.4,0.4,1.5,23.6,1,1.3,80.6,0.1,1.5,1.7,2.6,1.3,0.5,0,1.5,11.7,0,0,0.4
Mike Dunleavy,ATL,36,53,34,19,15.9,5.2,1.8,4.2,42.3,1,2.5,39.6,0.7,0.8,80,0.3,1.8,2.2,0.9,0.5,0.3,0.1,1.3,9.9,0,0,-0.7
Mike Muscala,ATL,25,70,36,34,17.7,6.2,2.4,4.8,50.4,0.7,1.6,41.8,0.7,0.9,76.6,1.1,2.3,3.4,1.4,0.8,0.4,0.6,1.4,14.6,0,0,-1.1
Mike Scott,ATL,28,18,7,11,10.8,2.5,0.9,3.3,28.8,0.2,1.5,14.8,0.4,0.4,87.5,0.6,1.5,2.1,0.9,0.4,0.2,0.2,0.7,7.1,0,0,-2.3
Paul Millsap,ATL,32,69,40,29,34,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,37.1,19,0,2
Ryan Kelly,ATL,26,16,6,10,6.9,1.6,0.5,1.8,28.6,0.3,0.6,40,0.3,0.4,83.3,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,5.1,0,0,0.3
Taurean Prince,ATL,23,59,28,31,16.6,5.7,1.9,4.8,40,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,1,0.7,0.5,1.6,12.8,0,0,-0.5
Thabo Sefolosha,ATL,33,62,32,30,25.7,7.2,2.8,6.4,44.1,0.7,1.9,34.2,0.9,1.2,73.3,0.9,3.5,4.4,1.7,0.9,1.5,0.5,1.6,20.2,0,0,-1
Tim Hardaway Jr.,ATL,25,79,42,37,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,22.6,0,0,2
Andrew Nicholson,BKN,27,38,20,18,9,2.6,1.1,2.9,38.7,0.1,0.7,18.5,0.2,0.4,64.3,0.4,1.2,1.6,0.3,0.4,0.4,0.2,1.4,6.2,0,0,-3.4
Anthony Bennett,BKN,24,23,3,20,11.5,5,1.7,4,41.3,0.6,2.1,27.1,1.1,1.6,72.2,1.1,2.3,3.4,0.5,0.5,0.2,0.1,0.8,10.4,0,0,-3
Archie Goodwin,BKN,22,15,8,7,14.3,7.3,2.4,4.4,54.5,0.3,1,33.3,2.2,2.8,78.6,0.5,1.4,1.9,1.6,0.9,0.3,0.3,0.5,12.8,0,0,-2.4
Brook Lopez,BKN,29,75,20,55,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,34.5,2,0,-2.1
Caris LeVert,BKN,22,57,15,42,21.7,8.2,3,6.7,45,1,3.2,32.1,1.2,1.6,72,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,17,0,0,-1.6
Greivis Vasquez,BKN,30,3,1,2,12.9,2.3,0.7,2.7,25,0.3,1,33.3,0.7,1,66.7,0,0.7,0.7,1.7,0.3,0.3,0.3,2,7.3,0,0,-4.3
Isaiah Whitehead,BKN,22,73,17,56,22.5,7.4,2.8,7,40.2,0.6,2,29.5,1.2,1.5,80.5,0.4,2.1,2.5,2.6,1.9,0.6,0.5,2.4,15.7,1,0,-1.6
Jeremy Lin,BKN,28,36,13,23,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,29,3,0,-2.3
Joe Harris,BKN,25,52,10,42,21.9,8.2,3,7,42.5,1.6,4.3,38.5,0.7,0.9,71.4,0.3,2.5,2.8,1,1.1,0.6,0.2,2.3,14.3,0,0,-5.5
Justin Hamilton,BKN,27,64,14,50,18.4,6.9,2.7,5.9,45.9,0.9,2.8,30.6,0.6,0.8,75,1.1,3,4.1,0.9,0.7,0.5,0.7,1.4,15.8,1,0,-4.6
KJ McDaniels,BKN,24,49,28,21,10.3,4.2,1.6,3.4,45.6,0.4,1.3,30.3,0.7,0.8,84.2,0.3,1.4,1.7,0.3,0.6,0.4,0.4,1,8.3,0,0,-0.9
Luis Scola,BKN,37,36,7,29,12.8,5.1,2,4.2,47,0.5,1.4,34,0.7,1,67.6,1.4,2.4,3.9,1,0.9,0.4,0.1,1.8,11.8,1,0,-2.3
Quincy Acy,BKN,26,38,11,27,14.7,5.8,1.8,4.5,41.2,1,2.4,41.1,1.2,1.6,75,0.5,2.5,3,0.5,0.6,0.4,0.4,1.8,11.9,0,0,-1
Randy Foye,BKN,33,69,17,52,18.6,5.2,1.7,4.7,36.3,1,2.9,33,0.8,0.9,85.7,0.1,2.1,2.2,2,1.2,0.5,0.1,1.4,11.6,0,0,-3
Rondae Hollis-Jefferson,BKN,22,78,19,59,22.6,8.7,3,6.9,43.4,0.2,0.9,22.4,2.4,3.2,75.1,1.2,4.6,5.8,2,1.5,1.1,0.6,2.3,21.9,8,0,-3.4
Sean Kilpatrick,BKN,27,70,14,56,25.1,13.1,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,0.3,3.7,4,2.2,1.9,0.6,0.1,1.7,21.6,4,0,-3.2
Spencer Dinwiddie,BKN,24,59,13,46,22.6,7.3,2.3,5.1,44.4,0.6,1.7,37.6,2.1,2.7,79.2,0.5,2.3,2.8,3.1,1.1,0.7,0.4,2,17.6,0,0,-2.3
Trevor Booker,BKN,29,71,18,53,24.7,10,4.3,8.3,51.6,0.4,1.1,32.1,1,1.5,67.3,2,6,8,1.9,1.8,1.1,0.4,2.1,25.1,16,0,-4.7
Al Horford,BOS,31,68,46,22,32.3,14,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2,80,1.4,5.4,6.8,5,1.7,0.8,1.3,2,34,8,0,3.2
Amir Johnson,BOS,30,80,51,29,20.1,6.5,2.7,4.6,57.6,0.3,0.8,40.9,0.8,1.3,67,1.5,3.1,4.6,1.8,1,0.6,0.8,2.6,17.9,0,0,2.6
Avery Bradley,BOS,26,55,34,21,33.4,16.3,6.5,14.1,46.3,2,5,39,1.2,1.7,73.1,1.2,4.9,6.1,2.2,1.6,1.2,0.2,2.6,29.6,10,0,1.3
Demetrius Jackson,BOS,22,5,1,4,3.4,2,0.6,0.8,75,0.2,0.2,100,0.6,1.2,50,0.4,0.4,0.8,0.6,0,0,0,0,3.9,0,0,0.2
Gerald Green,BOS,31,47,32,15,11.4,5.6,2,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,0.3,1.4,1.8,0.7,0.5,0.2,0.1,1,9.3,0,0,0.2
Isaiah Thomas,BOS,28,76,51,25,33.8,28.9,9,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,41.5,5,0,3.6
Jae Crowder,BOS,26,72,48,24,32.4,13.9,4.6,10,46.3,2.2,5.5,39.8,2.4,3,81.1,0.7,5.1,5.8,2.2,1.1,1,0.3,2.2,26.9,7,0,4.9
James Young,BOS,21,29,16,13,7.6,2.3,0.9,2,43.1,0.4,1.2,34.3,0.2,0.3,66.7,0.2,0.7,0.9,0.1,0.1,0.3,0.1,0.5,4.7,0,0,-1.3
Jaylen Brown,BOS,20,78,50,28,17.2,6.6,2.5,5.4,45.5,0.6,1.7,34.3,1.1,1.6,68.5,0.6,2.2,2.8,0.8,0.9,0.4,0.2,1.8,12.4,0,0,-1.6
Jonas Jerebko,BOS,30,78,51,27,15.8,3.8,1.5,3.4,43.5,0.6,1.7,34.6,0.3,0.5,70.3,0.8,2.7,3.5,0.9,0.5,0.3,0.2,1.6,10.5,0,0,0.5
Jordan Mickey,BOS,22,25,9,16,5.6,1.5,0.6,1.4,44.1,0,0,0,0.3,0.6,57.1,0.5,0.8,1.4,0.3,0.4,0.1,0.2,0.5,4.3,0,0,-2.3
Kelly Olynyk,BOS,26,75,49,26,20.5,9,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,1,3.8,4.8,2,1.3,0.6,0.4,2.8,19.4,2,0,0.2
Marcus Smart,BOS,23,79,51,28,30.4,10.6,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,1,2.9,3.9,4.6,2,1.6,0.4,2.4,26.1,2,0,1.6
Terry Rozier,BOS,23,74,47,27,17.1,5.5,2,5.6,36.7,0.8,2.4,31.8,0.7,0.9,77.3,0.5,2.5,3.1,1.8,0.6,0.6,0.1,0.9,13.5,1,0,-0.2
Tyler Zeller,BOS,27,51,32,19,10.3,3.5,1.5,3.1,49.4,0,0,0,0.4,0.8,56.4,0.8,1.6,2.4,0.8,0.4,0.1,0.4,1.2,8.9,1,0,0
Aaron Harrison,CHA,22,5,2,3,3.3,0.2,0,0.8,0,0,0.4,0,0.2,0.4,50,0,0.6,0.6,0.6,0,0,0,0.4,1.8,0,0,-1
Brian Roberts,CHA,31,41,16,25,10.2,3.5,1.1,3,37.7,0.4,1.1,38.6,0.8,1,84.6,0.1,0.8,1,1.3,0.6,0.2,0,0.4,6.6,0,0,-1.4
Briante Weber,CHA,24,20,12,8,10.2,3.1,1.3,3,41.7,0.1,0.5,10,0.6,0.8,68.8,0.4,0.9,1.3,1.1,0.4,0.6,0.1,0.8,7.8,0,0,-2.5
Christian Wood,CHA,21,13,5,8,8.2,2.7,0.9,1.8,52.2,0,0.4,0,0.8,1.2,73.3,1.1,1.2,2.2,0.2,0.5,0.2,0.5,0.8,7.1,0,0,1.5
Cody Zeller,CHA,24,62,33,29,27.8,10.3,4.1,7.1,57.1,0,0,0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1,1,0.9,3,25.3,6,0,3.4
Frank Kaminsky,CHA,24,75,31,44,26.1,11.7,4.3,10.7,39.9,1.5,4.7,32.8,1.6,2.1,75.6,0.8,3.7,4.5,2.2,1,0.6,0.5,1.9,22.5,4,0,0.6
Jeremy Lamb,CHA,25,62,27,35,18.4,9.7,3.6,7.9,46,0.7,2.4,28.1,1.8,2.1,85.3,0.5,3.8,4.3,1.2,0.6,0.4,0.4,1.6,18.4,1,0,-0.6
Johnny O'Bryant III,CHA,24,11,4,7,7.3,3.5,1.4,2.7,50,0.3,0.5,50,0.5,0.5,83.3,0.8,0.9,1.7,0.5,0.5,0,0.1,0.9,6.1,0,0,-2.4
Kemba Walker,CHA,27,79,36,43,34.7,23.2,8.1,18.3,44.4,3,7.6,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,2.1,1.1,0.3,1.5,38,8,0,2.4
Marco Belinelli,CHA,31,74,34,40,24,10.5,3.6,8.3,42.9,1.4,3.8,36,2,2.3,89.3,0.2,2.2,2.4,2,0.9,0.6,0.1,1.2,17.6,1,0,0.6
Marvin Williams,CHA,31,76,32,44,30.2,11.2,3.9,9.3,42.2,1.6,4.7,35,1.7,2,87.3,1.2,5.4,6.6,1.4,0.8,0.8,0.7,1.8,24.8,11,0,-0.4
Michael Kidd-Gilchrist,CHA,23,81,36,45,29,9.2,3.6,7.6,47.7,0,0.1,11.1,1.9,2.4,78.4,1.9,5,7,1.4,0.7,1,1,2.3,24.8,11,0,-0.1
Mike Tobey,CHA,22,2,0,2,12.6,1,0.5,2,25,0,0,0,0,0,0,1,0.5,1.5,0.5,0.5,0,0,1,3.1,0,0,-8.5
Miles Plumlee,CHA,28,45,19,26,10.8,2.5,1,2,47.8,0,0,0,0.6,0.9,64.1,0.8,1.3,2.1,0.5,0.7,0.4,0.3,1.6,7.1,0,0,-1.5
Nicolas Batum,CHA,28,77,35,42,34,15.1,5.1,12.7,40.3,1.8,5.3,33.3,3.2,3.7,85.6,0.6,5.6,6.2,5.9,2.5,1.1,0.4,1.4,33.5,15,1,0.9
Ramon Sessions,CHA,31,50,23,27,16.2,6.2,2,5.3,38,0.4,1.2,33.9,1.8,2.4,77.1,0.2,1.2,1.5,2.6,0.9,0.5,0.1,0.9,12.7,0,0,-1.6
Treveon Graham,CHA,23,27,10,17,7,2.1,0.7,1.5,47.5,0.3,0.6,60,0.4,0.6,66.7,0.2,0.6,0.8,0.2,0.1,0.2,0,0.7,4.1,0,0,-1.4
Anthony Morrow,CHI,31,49,25,24,14.6,5.5,2,5.1,38.9,0.8,2.7,30.8,0.7,0.8,91.9,0.2,0.4,0.6,0.5,0.1,0.5,0,0.9,8.5,0,0,0.4
Bobby Portis,CHI,22,64,30,34,15.6,6.8,2.9,5.9,48.8,0.5,1.5,33.3,0.6,0.9,66.1,1.2,3.5,4.6,0.5,0.6,0.3,0.2,1.5,13.9,5,0,-1.3
Cameron Payne,CHI,22,31,16,15,14.9,5.2,2.1,6.2,33.2,0.9,2.8,31.4,0.2,0.3,62.5,0.1,1.5,1.5,1.8,0.9,0.5,0.1,1.7,10.5,0,0,-2.2
Cristiano Felicio,CHI,24,66,31,35,15.8,4.8,1.9,3.3,57.9,0,0,0,0.9,1.4,64.5,1.9,2.8,4.7,0.6,0.5,0.4,0.3,1.7,12.8,3,0,-0.5
Denzel Valentine,CHI,23,57,28,29,17.1,5.1,1.8,5.1,35.4,1.3,3.6,35.1,0.2,0.3,77.8,0.2,2.5,2.6,1.1,0.9,0.5,0.1,1.5,11,1,0,-0.3
Dwyane Wade,CHI,35,60,29,31,29.9,18.3,6.9,15.9,43.4,0.8,2.4,31,3.7,4.7,79.4,1.1,3.5,4.5,3.8,2.3,1.4,0.7,1.9,33.4,2,0,-1.2
Isaiah Canaan,CHI,26,39,19,20,15.2,4.6,1.6,4.4,36.4,0.6,2.4,26.6,0.8,0.8,90.9,0.2,1.1,1.3,0.9,0.5,0.6,0,0.9,8.8,0,0,-2.2
Jerian Grant,CHI,24,63,29,34,16.3,5.9,2,4.8,42.5,0.8,2.1,36.6,1,1.2,89,0.3,1.5,1.8,1.9,0.7,0.7,0.1,1.5,12.8,1,0,0.8
Jimmy Butler,CHI,27,76,40,36,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7
Joffrey Lauvergne,CHI,25,70,41,29,14,5.4,2.1,4.8,44,0.5,1.4,33.7,0.7,1,63,1,2.6,3.6,1,0.8,0.4,0.1,1.2,11.7,0,0,-1.3
Michael Carter-Williams,CHI,25,45,25,20,18.8,6.6,2.5,6.8,36.6,0.3,1.4,23.4,1.3,1.7,75.3,0.5,2.9,3.4,2.5,1.5,0.8,0.5,2.3,17,0,0,-0.6
Nikola Mirotic,CHI,26,70,37,33,24,10.6,3.7,8.9,41.3,1.8,5.4,34.2,1.4,1.8,77.3,0.9,4.6,5.5,1.1,1.1,0.8,0.8,1.8,22.3,8,0,2.8
Paul Zipser,CHI,23,44,21,23,19.2,5.5,2,5,39.8,0.8,2.3,33.3,0.7,0.9,77.5,0.3,2.5,2.8,0.8,0.9,0.3,0.4,1.8,11.3,0,0,0.3
RJ Hunter,CHI,23,3,2,1,3.1,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.4,0,0,-3.3
Rajon Rondo,CHI,31,69,34,35,26.7,7.8,3.3,8.1,40.8,0.7,1.9,37.6,0.4,0.7,60,1.1,4.1,5.1,6.7,2.4,1.4,0.2,2.1,26.3,6,1,-0.9
Robin Lopez,CHI,29,81,40,41,28,10.4,4.7,9.6,49.3,0,0,0,0.9,1.3,72.1,3,3.4,6.4,1,1.1,0.2,1.4,1.9,23.4,8,0,0.9
Andrew Bogut,CLE,32,27,8,19,21.6,2.9,1.4,3,46.9,0,0,0,0.1,0.4,27.3,2.1,6,8.1,1.8,1.6,0.5,0.9,3.2,18,0,0,-1.3
Channing Frye,CLE,34,74,44,30,18.9,9.1,3.2,7,45.8,1.9,4.5,40.9,0.9,1,85.1,0.5,3.4,3.9,0.6,0.7,0.4,0.5,1.9,16.9,2,0,0.8
Chris Andersen,CLE,38,12,8,4,9.5,2.3,0.8,1.8,40.9,0,0.3,0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,8.6,0,0,0.7
Dahntay Jones,CLE,36,1,0,1,12,9,3,8,37.5,0,2,0,3,4,75,1,1,2,1,1,0,0,1,11.9,0,0,2
Deron Williams,CLE,33,64,25,39,25.9,11,4.1,9.4,43.8,1.3,3.7,36.3,1.4,1.7,82.6,0.2,2.1,2.3,5.6,2.2,0.5,0.1,2.2,21.8,3,0,-1.5
Derrick Williams,CLE,26,50,16,34,16.1,6.1,2.2,4.9,44.3,0.6,1.9,30.9,1.2,1.8,65.2,0.4,2.2,2.6,0.6,0.6,0.3,0.1,1.2,10.7,0,0,-1.2
Edy Tavares,CLE,25,2,1,1,13.8,4,2,2.5,80,0,0,0,0,1.5,0,2,3.5,5.5,0.5,1,0,3,1.5,19.4,0,0,5
Iman Shumpert,CLE,27,76,48,28,25.5,7.5,2.6,6.4,41.1,1.2,3.4,36,0.9,1.2,78.9,0.5,2.4,2.9,1.4,1,0.8,0.4,2,15.5,0,0,0.6
JR Smith,CLE,31,41,25,16,29,8.6,3,8.7,34.6,2.3,6.6,35.1,0.2,0.4,66.7,0.4,2.3,2.8,1.5,0.6,1,0.3,1.9,17.2,0,0,1.8
James Jones,CLE,36,48,28,20,7.9,2.8,0.9,1.9,47.8,0.6,1.4,47,0.3,0.4,65,0.1,0.7,0.8,0.3,0.2,0.1,0.2,0.8,4.9,0,0,-2.1
Jordan McRae,CLE,26,37,26,11,10.4,4.4,1.6,4.1,38.7,0.5,1.4,35.3,0.7,0.9,79.4,0.2,0.9,1.1,0.5,0.4,0.2,0.2,0.8,7.2,0,0,-1.6
Kay Felder,CLE,22,42,25,17,9.2,4,1.5,3.8,39.2,0.2,0.5,31.8,0.8,1.2,71.4,0.1,0.9,1,1.4,0.7,0.4,0.2,0.9,8.3,0,0,-1.3
Kevin Love,CLE,28,60,40,20,31.4,19,6.2,14.5,42.7,2.4,6.5,37.3,4.3,4.9,87.1,2.5,8.6,11.1,1.9,2,0.9,0.4,2.1,36.9,41,0,5.6
Kyle Korver,CLE,36,67,33,34,26.2,10.1,3.6,7.7,46.4,2.4,5.4,45.1,0.6,0.6,90.5,0.1,2.7,2.8,1.6,1,0.5,0.3,1.6,17.3,0,0,-2.5
Kyrie Irving,CLE,25,72,47,25,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,2.5,1.2,0.3,2.2,39.7,8,0,4.6
Larry Sanders,CLE,28,5,2,3,2.5,0.8,0.2,0.8,25,0,0,0,0.4,0.4,100,0.6,0.2,0.8,0,0.4,0.2,0.2,1,2.6,0,0,-0.2
LeBron James,CLE,32,74,51,23,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42,13,6.5
Richard Jefferson,CLE,37,79,50,29,20.4,5.7,1.9,4.3,44.6,0.8,2.4,33.3,1,1.4,74.1,0.4,2.2,2.6,1,0.7,0.3,0.1,1.9,10.9,1,0,1.6
Tristan Thompson,CLE,26,78,50,28,30,8.1,3.4,5.6,60,0,0,0,1.4,2.7,49.8,3.7,5.5,9.2,1,0.8,0.5,1.1,2.3,24.5,19,0,1.7
AJ Hammons,DAL,24,22,4,18,7.4,2.2,0.8,1.9,40.5,0.2,0.5,50,0.4,0.9,45,0.4,1.3,1.6,0.2,0.5,0,0.6,1,5.9,0,0,-0.2
Ben Bentil,DAL,22,3,2,1,3.3,0,0,1,0,0,0.3,0,0,0,0,0,0.7,0.7,0,0.3,0,0,0.3,0.5,0,0,-4
DeAndre Liggins,DAL,29,62,40,22,12.5,2.5,0.9,2.3,38.7,0.3,0.7,37,0.4,0.6,62.5,0.3,1.4,1.7,0.9,0.7,0.8,0.2,1.3,8.1,0,0,0.9
Devin Harris,DAL,34,65,29,36,16.7,6.7,2.1,5.2,39.9,0.9,2.7,32.8,1.6,2,82.9,0.2,1.8,2,2.1,0.9,0.7,0.1,1.6,13.6,0,0,0.6
Dirk Nowitzki,DAL,39,54,23,31,26.4,14.2,5.5,12.6,43.7,1.5,3.9,37.8,1.8,2.1,87.5,0.4,6.1,6.5,1.5,0.9,0.6,0.7,2.1,27.2,8,0,-0.2
Dorian Finney-Smith,DAL,24,81,33,48,20.3,4.3,1.5,4.1,37.2,0.7,2.4,29.3,0.6,0.8,75.4,0.7,2.1,2.7,0.8,0.6,0.6,0.3,1.5,11.1,0,0,-1.5
Dwight Powell,DAL,25,77,30,47,17.3,6.7,2.5,4.9,51.5,0.3,1,28.4,1.4,1.8,75.9,1.2,2.8,4,0.6,0.4,0.8,0.5,1.8,15.9,2,0,-2.2
Harrison Barnes,DAL,25,79,32,47,35.5,19.2,7.6,16.2,46.8,1,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5,1.5,1.3,0.8,0.2,1.6,29.1,1,0,-1.7
J.J. Barea,DAL,33,35,11,24,22,10.9,4.1,9.8,41.4,1.5,4.2,35.8,1.3,1.5,86.3,0.3,2.1,2.4,5.5,1.8,0.4,0,0.9,21.5,0,0,0.3
Jarrod Uthoff,DAL,24,9,2,7,12.7,4.4,1.8,4.2,42.1,0.3,1,33.3,0.6,0.8,71.4,0.9,1.6,2.4,1,0.3,0.2,0.4,0.9,10.5,0,0,-6.9
Jonathan Gibson,DAL,29,17,4,13,13.6,6.2,2.1,5.6,36.8,0.9,2.6,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0,1.2,10.3,0,0,-4.9
Manny Harris,DAL,27,4,1,3,6.2,2,0.8,3.8,20,0,0.5,0,0.5,1,50,0.8,1.5,2.3,0.5,0.5,0,0,0.3,5,0,0,-5.3
Nerlens Noel,DAL,23,51,24,27,20.5,8.7,3.6,6.1,59.5,0,0,0,1.5,2.2,69.4,1.8,3.9,5.8,1,1,1.3,1,2.5,22.9,3,0,-1.6
Nicolas Brussino,DAL,24,54,18,36,9.7,2.8,1,2.6,36.9,0.5,1.8,30.5,0.3,0.4,77.3,0.5,1.3,1.8,0.9,0.5,0.3,0.1,0.8,7.1,0,0,-2
Pierre Jackson,DAL,25,9,4,5,9.4,3.9,1.4,4.3,33.3,0.3,1.2,27.3,0.7,0.8,85.7,0.1,0.9,1,2.1,0.3,0.2,0,0.6,8.6,0,0,6.1
Salah Mejri,DAL,31,73,29,44,12.4,2.9,1.2,1.9,64.2,0,0,33.3,0.5,0.8,59,1.3,2.9,4.2,0.2,0.5,0.4,0.8,2.1,11.5,1,0,-0.2
Seth Curry,DAL,26,70,30,40,29,12.8,4.8,10,48.1,2,4.6,42.5,1.2,1.4,85,0.4,2.2,2.6,2.7,1.3,1.1,0.1,1.8,22.3,1,0,-0.5
Wesley Matthews,DAL,30,73,29,44,34.2,13.5,4.6,11.6,39.3,2.4,6.6,36.3,2,2.5,81.6,0.2,3.3,3.5,2.9,1.4,1.1,0.2,2.2,24.5,0,0,-2.6
Yogi Ferrell,DAL,24,46,18,28,26,10,3.5,8.6,40.6,1.5,3.8,38.6,1.6,1.9,83.1,0.4,2,2.4,3.7,1.5,0.9,0.2,2,20.4,0,0,-2.5
Alonzo Gee,DEN,30,13,4,9,6.9,0.8,0.2,1.1,21.4,0,0.2,0,0.4,0.7,55.6,0.3,0.8,1.2,0.5,0.3,0.4,0.1,1.1,4,0,0,-1.4
Danilo Gallinari,DEN,28,63,31,32,33.9,18.2,5.3,11.9,44.7,2,5.1,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,28.9,4,0,2.5
